Product Name,Price,Discount,Category,Brand,Rating,Number of Reviews
"Florican Portable Invisible Laptop Riser Stand | Mini Aluminum Cooling Pad, Lightweight Laptop Desk Stand for MacBook, Lenovo, Dell, HP & Other Laptops (Cool Silver)",269,(79% off),Computer Accessories,Florican,"4.3 out of 5 stars, rating details","1,960"
"Zebronics 200HB USB 3.0 4 Port hub with Hi Speed Data Transfer, Aluminum + ABS Body, 15cm Cable, Sleek Design and Plug Play Usage",269,(73% off),Computer Accessories,Zebronics,"4.2 out of 5 stars, rating details","2,350"
"Lenovo 120 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll Wheel, Ambidextrous, Ergonomic Mouse for Comfortable All-Day Grip (GY51L52636)",269,(45% off),Computer Accessories,Lenovo,"4.4 out of 5 stars, rating details","30,550"
"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll Wheel, Ambidextrous, Ergonomic Mouse for Comfortable All-Day Grip (GX30M39704)",269,(47% off),Computer Accessories,Lenovo,"4.4 out of 5 stars, rating details","30,550"
"Careflection Game Box Mini Video Key Chain Player Classic Retro With 26 Kinds : Lcd Machine Collectible Portable Indoor Outdoor Console Handheld Toy Puzzle Solve For Girls, Kids (Yellow)",270,(73% off),Gaming Consoles,Careflection,"3.3 out of 5 stars, rating details",98
"amazon basics 2.0 Multimedia Speaker for PC | 3.5 mm Aux-in | 2x3W | for PC, Laptop, Tablet",272,(70% off),Computer Accessories,Amazon Basics,"3.8 out of 5 stars, rating details","27,866"
"DESCTIDY Pack of 1 Water Ring Game for Kids | Handheld Water Game | Best Birthday Return Gift for Kids (Video Game Type), Multicolor Random Color",278,(53% off),Gaming Consoles,DESCTIDY,"3.4 out of 5 stars, rating details",45
"FRONTECH Premium 2.0 Channel USB Powered Speakers with 1.5W x 2 Output, AUX Input, and 1-Year Warranty (Red)",279,(54% off),Speakers,FRONTECH,"3.4 out of 5 stars, rating details",144
"CARBINIC Car Cleaning Gel Kit | Universal Gel for Car Accessories Laptop Keyboard Gadgets | Multipurpose Interior Dust Cleaning | Dashboard Gap Corner Cleaner (120 Grams- Box, Pack of 2)",279,(77% off),Computer Accessories,CARBINIC,"3.6 out of 5 stars, rating details",144
"FRONTECH Premium 2.0 Channel USB Powered Speakers with 1.5W x 2 Output, AUX Input, and 1-Year Warranty (Blue)",279,(54% off),Speakers,FRONTECH,"3.6 out of 5 stars, rating details",147
"Amazon Basics Professional 6-in-1 Cleaning Kit for Laptops, Tablets, Smartphones, Cameras (Includes: Air Blower, Cotton Swabs, Suede + Plush Micro-Fiber Cloth, Cleaning Brush, Cleaning Solution)",279,(69% off),Computer Accessories,Amazon Basics,"4.1 out of 5 stars, rating details",239
"FRONTECH Premium 2.0 Channel USB Powered Speakers with 1.5W x 2 Output, AUX Input, and 1-Year Warranty (Black)",279,(54% off),Speakers,FRONTECH,"3.5 out of 5 stars, rating details",354
amazon basics Writing Tablet with 8.5-inch rainbow colour LCD screen and Stylus Pen for Kids & Adults (Orange),279,(69% off),Tablets,Amazon Basics,"4.2 out of 5 stars, rating details","1,243"
"Dyazo ABS Plastic Laptop Stand Height & Angle Adjustable | Foldable | Portable | Laptops Raiser Compatible for MacBook, Lenovo, HP, Dell & Other notebooks Upto 15.6 inch (Black)",279,(72% off),Computer Accessories,Dyazo,"4.3 out of 5 stars, rating details","14,463"
"O&RÂ® Handheld 9999-in-1 Brick Game Console for Kids | Portable Retro Video Game Player for Indoor & Outdoor Fun | Classic Arcade Games, Battery Operator",284,(58% off),Gaming Consoles,O&RÂ®,"3.4 out of 5 stars, rating details",45
"FEDUS Cat6 Ethernet Cable, 10 Meter High Speed 550MHZ / 10 Gigabit Speed UTP LAN Cable, Network Cable Internet Cable RJ45 Cable LAN Wire, Patch Computer Cord Gigabit Category 6 Wires for Modem",286,(43% off),Computer Accessories,FEDUS,"4.4 out of 5 stars, rating details","15,443"
